operon_id	chromosome	TSS_start	TSS_end	score	strand	RNAP1_promoter	RNAP1_body	spt45_r1_promoter	spt45_r1_body	elf1_r1_promoter	elf1_r1_body	cpsf1_r1_promoter	cpsf1_r1_body	RNAP2_promoter	RNAP2_body	spt45_r2_promoter	spt45_r2_body	elf1_r2_promoter	elf1_r2_body	cpsf1_r2_promoter	cpsf1_r2_body	EI_RNAP1	EI_RNAP2	EI_spt45_r1	EI_spt45_r2	EI_elf1_r1	EI_elf1_r2	EI_RNAPmean	EI_Spt45mean	EI_Elf1mean	EI_RNAPsd	EI_Spt45sd	EI_Elf1sd	TFB1_peakStart	TFB1_foldR1	TFB1_foldR2	TFEb_peakStart	TFEb_foldR1	TFEb_foldR2	first.cistron	Translation_Start	Translation_Stop	Transcription_Stop	Strand	Name	Synonym	Product	Expression.expon	Expression.stat	Expression.oxid	Expression.mock	qValue.expon.vs.stat	qValue.expon.vs.oxid	qValue.expon.vs.mock	qValue.stat.vs.oxid	qValue.stat.vs.mock	qValue.oxid.vs.mock	foldchange_ExpStat	foldchange_ExpOxid	foldchange_OxidMock	UTR	Name	Synonym	Product	Raw.Counts.h2o2.Replicate.1	Raw.Counts.h2o2.Replicate.2	Normalized.Counts.h2o2.Replicate.1	Normalized.Counts.h2o2.Replicate.2	RPKM.h2o2	Expression.h2o2	Raw.Counts.expon.Replicate.1	Raw.Counts.expon.Replicate.2	Normalized.Counts.expon.Replicate.1	Normalized.Counts.expon.Replicate.2	RPKM.expon	Expression.expon	Raw.Counts.stat.Replicate.1	Raw.Counts.stat.Replicate.2	Raw.Counts.stat.Replicate.3	Normalized.Counts.stat.Replicate.1	Normalized.Counts.stat.Replicate.2	Normalized.Counts.stat.Replicate.3	RPKM.stat	Expression.stat	pValue.h2o2.vs.expon	qValue.h2o2.vs.expon	pValue.h2o2.vs.stat	qValue.h2o2.vs.stat	pValue.expon.vs.stat	qValue.expon.vs.stat
ID_54	gi|15896971|ref|NC_002754.1|	59844	59845	.	-	5.88874	0.9106348	4.51790666666667	1.254156	2.34730666666667	1.220684	1.79843333333333	0.9241016	8.36983333333333	2.16582	6.87252666666667	2.681224	1.47094	1.1877768	2.88148	1.328156	-2.69301447871526	-1.9502855485801	-1.8489376560711	-1.35794884689676	-0.943316560400461	-0.308474641034178	-2.32165001364768	-1.60344325148393	-0.625895600717319	0.525188663081999	0.34718151645388	0.448901026165382	59846	7.33462	6.06137	59840	3.8874	4.13008	59833	59832	59335	59335	-	rps13p	SSO0074	30S ribosomal protein S13	876	68	575	753	0	1	1	1.04e-217	0	1	3.687324218	0.607368914	-0.389087909	13	SSO0074	SSO0074	30S ribosomal protein S13P	12226	5723	339388	226375	458	568	20905	13480	460929	403723	957	868	615	641	493	38102	30813	33298	28	68	0.845719707344279	1	4.93997873949517e-218	6.00709133439393e-217	0	0
ID_138	gi|15896971|ref|NC_002754.1|	166332	166333	.	-	14.2760733333333	8.163096	14.3612733333333	11.52744	8.41647333333333	10.5211	5.18754	3.280224	13.2322066666667	5.992244	12.63644	8.41634	2.07368	1.974784	5.56806666666667	3.406276	-0.806410888387761	-1.14288539682788	-0.317111513904709	-0.586325185269236	0.321997801258017	-0.0704984204878345	-0.974648142607819	-0.451718349586972	0.125749690385091	0.237923406614416	0.190362812609984	0.277536739986591	166330	3.59808	4.35262	166331	3.01159	5.47933	166323	166320	165619	165619	-	-	SSO0192	glutaredoxin-like protein	1449	3024	1494	1171	0.255836213	0.873615571	1	1	0.128203912	1	-1.061400545	-0.044122553	0.351439072	13	SSO0192	SSO0192	Glutaredoxin related protein	30822	30841	855580	1219794	1115	1478	42328	36098	933264	1081101	1548	1434	32187	39366	36578	1992397	1890088	2467803	1239	3015	0.310690099133123	0.858950513855605	0.576998193439521	1	0.136540453092458	0.265490587430869
ID_159	gi|15896971|ref|NC_002754.1|	186913	186914	.	-	7.78813333333333	2.254908	7.39390666666667	2.652748	5.06530666666667	3.097152	3.05258666666667	0.991142	10.99972	3.344912	10.35674	4.14914	2.0392	1.327744	4.05652666666667	1.712892	-1.78820901041825	-1.71742663896493	-1.47884920042906	-1.31968571365476	-0.709707427737668	-0.619026268484533	-1.75281782469159	-1.39926745704191	-0.6643668481111	0.0500506948431066	0.112545580815407	0.0641212626337492	186920	3.83944	4.62504	186914	3.73657	4.21894	186899	186899	185592	185592	-	tuF-1	SSO0216	elongation factor 1-alpha	2556	1012	1641	1674	8.85e-06	1	1	0.018363872	0.010912426	1	1.336678546	0.639312597	-0.028724289	15	SSO0216	SSO0216	elongation factor 1-alpha	61046	64558	1694572	2553320	1219	1623	195667	77371	4314123	2317195	2894	2534	24044	24844	19013	1488313	1192850	1282736	417	1010	0.600742715552393	1	0.00603181844306331	0.0162150697869224	2.62478313881146e-06	6.19950676109263e-06
ID_177	gi|15896971|ref|NC_002754.1|	210083	210084	.	+	7.22993333333333	2.445472	5.49362	1.997264	3.16206	1.501664	3.02936666666667	1.288468	6.29208	1.93064	5.47904666666667	1.698716	1.21252733333333	1.129312	3.45127333333333	1.432604	-1.56386939795811	-1.70445783903174	-1.45973207898877	-1.68948021598692	-1.07430269968323	-0.102573148650386	-1.63416361849493	-1.57460614748784	-0.588437924166806	0.0994110400396094	0.162456465636366	0.687116555014681	210084	4.2262	3.30806	210079	3.18953	2.40698	209973	210097	211104	NA	+	purA	SSO0242	adenylosuccinate synthetase	53	22	57	25	1	1	1	1	1	1	1.268488836	-0.10496956	1.189033824	13	SSO0242	SSO0242	adenylosuccinate synthetase	1730	1697	48045	67139	43	57	2266	1889	49975	56598	57	52	375	470	326	23218	22605	22030	9	22	0.0331871999984376	1	6.23092372581262e-17	1	4.74053107355921e-12	1
ID_183	gi|15896971|ref|NC_002754.1|	217132	217133	.	-	22.5972666666667	11.154904	21.7884466666667	15.17576	13.53628	13.67068	16.8099333333333	3.552024	21.3014	7.054628	19.35332	10.747472	2.73306	2.306504	18.0366466666667	3.847944	-1.01847017916116	-1.59430633766546	-0.52179457981301	-0.848583725584274	0.014253690286172	-0.244809337926035	-1.30638825841331	-0.685189152698642	-0.115277823819932	0.407177652530803	0.23107482099302	0.183185224003574	217137	5.64457	7.25144	217131	3.29383	6.17401	217141	217109	216135	216135	-	radA	SSO0250	DNA repair and recombination protein RadA	664	3045	1068	605	3.58e-15	0.093646765	1	1	1.68e-06	0.973063774	-2.197187081	-0.6856565	0.8199046	24	SSO0250	SSO0250	DNA repair and recombination protein RadA	28862	31885	801195	1261105	791	1057	27269	22783	601253	682348	711	658	46491	56432	48838	2877811	2709492	3294910	1252	3036	0.0199410283630426	0.0919650685839281	0.575011916131939	1	1.09498508843349e-15	3.32230855779088e-15
ID_207	gi|15896971|ref|NC_002754.1|	239339	239340	.	+	10.9903666666667	3.132876	7.01659333333333	3.281448	3.26831333333333	3.349608	2.41680666666667	1.32882	14.12074	3.19412	9.25423333333333	4.517756	1.3573	1.515384	3.20476	1.952808	-1.81067994534843	-2.14432527575385	-1.09643817795078	-1.03450712086776	0.0354459674933265	0.158943789946849	-1.97750261055114	-1.06547264940927	0.0971948787200879	0.2359228756409	0.0437918704294568	0.0873261477186582	239338	10.87203	13.12289	239344	4.52088	5.13977	239345	239345	241018	241045	+	thsB	SSO0282	thermosome subunit beta	899	414	1145	641	0.001026053	0.630033115	1	9.4e-06	0.043525578	0.761866616	1.118690348	-0.348954577	0.836951336	5	SSO0282	SSO0282	Thermosome beta subunit(thermophilic factor 55)	70553	46308	1958480	1831550	887	1132	89241	34013	1967614	1018656	1020	891	11776	14221	9814	728939	682802	662148	172	412	0.204227182065097	0.624517895647	1.48801392548721e-06	4.98084661294805e-06	0.00030670512237251	0.000672849221948996
ID_244	gi|15896971|ref|NC_002754.1|	301508	301509	.	-	11.0575933333333	6.701148	10.0137666666667	8.154784	5.61729333333333	6.198936	4.03030666666667	3.51996	10.2447533333333	6.30142	9.27684	6.729456	1.72167333333333	1.697016	5.21184	2.523608	-0.722557243966161	-0.701136372506276	-0.296266175177639	-0.463143575097261	0.142145467192495	-0.0208112676596041	-0.711846808236219	-0.37970487513745	0.0606670997664453	0.0151468434682095	0.118000141109944	0.115227812253937	301527	6.09723	4.64769	301519	3.4763	3.02052	301506	301506	301042	301042	-	rps19E	SSO0353	30S ribosomal protein S19	599	204	524	620	8.22e-16	0.616247427	0.888780802	1.19e-12	1.92e-18	1	1.553986851	0.192989191	-0.242701404	3	SSO0353	SSO0353	30S ribosomal protein S19e	10377	4892	288055	193505	418	517	12666	9104	279277	272654	649	593	1613	1970	1334	99889	94606	90032	85	203	0.211795836619322	0.638381528315436	1.07596957802107e-12	4.56956793503355e-12	1.05587263644752e-15	3.20676245586453e-15
ID_250	gi|15896971|ref|NC_002754.1|	305548	305549	.	+	8.86294	2.28754	7.5929	2.700548	5.85655333333333	2.960092	3.91641333333333	1.721092	8.11768	1.556016	6.71819333333333	1.982392	1.71703333333333	1.1465504	4.19352666666667	2.12742	-1.95398837598815	-2.38321057477233	-1.49139881648973	-1.7608310428735	-0.984409851731114	-0.582618272903069	-2.16859947538024	-1.62611492968162	-0.783514062317091	0.303505927396093	0.19051735434615	0.284109550012959	305554	5.47893	4.55442	305554	3.08953	3.48596	305563	305563	306456	306587	+	cysM	SSO0360	cysteine synthase B	706	228	547	498	2.03e-14	0.802685485	1	1.89e-08	3.77e-07	1	1.630634359	0.36812735	0.135395091	14	SSO0360	SSO0360	Cysteine synthase B (cysM)	18308	11629	508207	459964	426	541	26800	22058	590909	660623	757	699	3031	4006	3433	187633	192372	231660	94	228	0.27849017873526	0.790282521789303	1.12808985475836e-08	4.1169328462635e-08	2.47165606327762e-14	7.30006197816247e-14
ID_251	gi|15896971|ref|NC_002754.1|	306472	306473	.	+	9.395	2.681676	9.10701333333333	2.948352	5.20167333333333	3.258544	5.73212	2.729312	6.24274	1.888336	3.99484666666667	1.6743824	1.18124066666667	1.357564	3.26956	1.84088	-1.80875822023805	-1.72506388846776	-1.62706922008194	-1.25451107743484	-0.674748324694531	0.200717282771382	-1.7669110543529	-1.44079014875839	-0.237015520961575	0.059180829541645	0.263438389052031	0.619047667734748	306462	5.8774	5.94171	306469	3.69245	4.18696	306624	306624	307280	307338	+	-	SSO0361	hypothetical protein	183	38	236	229	1.48e-64	0.029463496	0.263095636	1.16e-121	6.35e-112	1	2.267772325	-0.366943211	0.043439261	151	NA	NA	Novel protein	4566	2381	126772	94183	566	708	4387	3492	96743	104584	700	645	324	437	343	20068	21018	23149	57	137	0.031147708731013	0.135422929161513	1.11708719624217e-86	9.47545624496428e-86	1.47740753022417e-67	7.23139880752805e-67
ID_254	gi|15896971|ref|NC_002754.1|	309518	309519	.	+	7.06362666666667	1.747496	5.80568	2.524044	3.26568666666667	2.9619	2.87530666666667	1.273088	5.02125333333333	1.196552	4.20245333333333	1.477784	1.19608333333333	1.0495516	2.03846	1.0576856	-2.01511994105727	-2.06916441882369	-1.20172799496804	-1.50779638529939	-0.140863442042947	-0.188544811444067	-2.04214217994048	-1.35476219013371	-0.164704126743507	0.0382152167143168	0.21642303431015	0.0337158196397926	309519	4.72613	3.92005	309513	2.39361	2.39357	309522	309522	310148	310148	+	folE	SSO0364	GTP cyclohydrolase I	618	136	551	523	2.05e-46	0.56320781	1	6.91e-36	4.25e-32	1	2.184000187	0.165554519	0.075241372	3	SSO0364	SSO0364	GTP cyclohydrolase I	12144	8759	337105	346447	423	545	15617	14142	344333	423565	658	612	1290	1686	1398	79883	80956	94342	56	135	0.176006174541076	0.555123831151338	5.19769538294452e-36	3.17263249551104e-35	1.38706425628118e-46	5.98051389169433e-46
