as.character(peaks$V1)	start	end	peak	peak_rep1	peak_rep2	fold_rep1	fold_rep2
gi|15896971|ref|NC_002754.1|	120	121	TFEb.expon.peak1	TFEb.expon_r1_peak_1a	TFEb.expon_r2_peak_1a	2.6929	2.5753
gi|15896971|ref|NC_002754.1|	498	499	TFEb.expon.peak2	TFEb.expon_r1_peak_1c	TFEb.expon_r2_peak_1c	2.60103	2.91501
gi|15896971|ref|NC_002754.1|	1781	1782	TFEb.expon.peak3	TFEb.expon_r1_peak_2	TFEb.expon_r2_peak_2	3.89192	4.38706
gi|15896971|ref|NC_002754.1|	4450	4451	TFEb.expon.peak4	TFEb.expon_r1_peak_4	TFEb.expon_r2_peak_3	3.34845	3.38317
gi|15896971|ref|NC_002754.1|	6253	6254	TFEb.expon.peak5	TFEb.expon_r1_peak_5	TFEb.expon_r2_peak_4	6.62513	7.06961
gi|15896971|ref|NC_002754.1|	7341	7342	TFEb.expon.peak6	TFEb.expon_r1_peak_6	TFEb.expon_r2_peak_5	4.71883	5.38955
gi|15896971|ref|NC_002754.1|	10512	10513	TFEb.expon.peak7	TFEb.expon_r1_peak_7	TFEb.expon_r2_peak_6	3.49286	3.13675
gi|15896971|ref|NC_002754.1|	12063	12064	TFEb.expon.peak8	TFEb.expon_r1_peak_8c	TFEb.expon_r2_peak_7	7.05949	7.70107
gi|15896971|ref|NC_002754.1|	13878	13879	TFEb.expon.peak9	TFEb.expon_r1_peak_9	TFEb.expon_r2_peak_8	7.91047	7.50261
gi|15896971|ref|NC_002754.1|	15561	15562	TFEb.expon.peak10	TFEb.expon_r1_peak_10	TFEb.expon_r2_peak_9	3.79781	3.00339
gi|15896971|ref|NC_002754.1|	17688	17689	TFEb.expon.peak11	TFEb.expon_r1_peak_11	TFEb.expon_r2_peak_10	3.34928	3.71151
gi|15896971|ref|NC_002754.1|	18225	18226	TFEb.expon.peak12	TFEb.expon_r1_peak_12	TFEb.expon_r2_peak_11	8.35444	9.19674
gi|15896971|ref|NC_002754.1|	19318	19319	TFEb.expon.peak13	TFEb.expon_r1_peak_13	TFEb.expon_r2_peak_12a	1.94763	1.98687
gi|15896971|ref|NC_002754.1|	21049	21050	TFEb.expon.peak14	TFEb.expon_r1_peak_16	TFEb.expon_r2_peak_14	2.49417	2.73481
gi|15896971|ref|NC_002754.1|	22507	22508	TFEb.expon.peak15	TFEb.expon_r1_peak_17	TFEb.expon_r2_peak_15	2.46632	2.68855
gi|15896971|ref|NC_002754.1|	23839	23840	TFEb.expon.peak16	TFEb.expon_r1_peak_18a	TFEb.expon_r2_peak_16	9.2734	9.25605
gi|15896971|ref|NC_002754.1|	26573	26574	TFEb.expon.peak17	TFEb.expon_r1_peak_19a	TFEb.expon_r2_peak_17a	2.54883	2.50848
gi|15896971|ref|NC_002754.1|	26779	26780	TFEb.expon.peak18	TFEb.expon_r1_peak_19b	TFEb.expon_r2_peak_17b	2.63818	2.45869
gi|15896971|ref|NC_002754.1|	27683	27684	TFEb.expon.peak19	TFEb.expon_r1_peak_20a	TFEb.expon_r2_peak_18a	4.7559	5.24506
gi|15896971|ref|NC_002754.1|	29263	29264	TFEb.expon.peak20	TFEb.expon_r1_peak_21a	TFEb.expon_r2_peak_21	5.56791	5.92864
gi|15896971|ref|NC_002754.1|	32533	32534	TFEb.expon.peak21	TFEb.expon_r1_peak_22	TFEb.expon_r2_peak_22	6.40894	7.29716
gi|15896971|ref|NC_002754.1|	35283	35284	TFEb.expon.peak22	TFEb.expon_r1_peak_23	TFEb.expon_r2_peak_24	2.51034	2.40543
gi|15896971|ref|NC_002754.1|	41374	41375	TFEb.expon.peak23	TFEb.expon_r1_peak_24	TFEb.expon_r2_peak_25	3.90734	3.71833
gi|15896971|ref|NC_002754.1|	42723	42724	TFEb.expon.peak24	TFEb.expon_r1_peak_25a	TFEb.expon_r2_peak_26a	3.02311	3.49384
gi|15896971|ref|NC_002754.1|	43428	43429	TFEb.expon.peak25	TFEb.expon_r1_peak_26	TFEb.expon_r2_peak_27	2.73426	2.99857
gi|15896971|ref|NC_002754.1|	47779	47780	TFEb.expon.peak26	TFEb.expon_r1_peak_27	TFEb.expon_r2_peak_28	4.62313	4.73288
gi|15896971|ref|NC_002754.1|	48742	48743	TFEb.expon.peak27	TFEb.expon_r1_peak_28b	TFEb.expon_r2_peak_29b	9.54736	9.19524
gi|15896971|ref|NC_002754.1|	49351	49352	TFEb.expon.peak28	TFEb.expon_r1_peak_29	TFEb.expon_r2_peak_30	12.80366	14.76399
gi|15896971|ref|NC_002754.1|	49821	49822	TFEb.expon.peak29	TFEb.expon_r1_peak_30	TFEb.expon_r2_peak_31	7.46396	6.86985
gi|15896971|ref|NC_002754.1|	52208	52209	TFEb.expon.peak30	TFEb.expon_r1_peak_32	TFEb.expon_r2_peak_33	3.76611	4.56384
gi|15896971|ref|NC_002754.1|	57623	57624	TFEb.expon.peak31	TFEb.expon_r1_peak_35	TFEb.expon_r2_peak_36	3.20447	3.25883
gi|15896971|ref|NC_002754.1|	59837	59838	TFEb.expon.peak32	TFEb.expon_r1_peak_36	TFEb.expon_r2_peak_37	7.46239	8.18385
gi|15896971|ref|NC_002754.1|	62724	62725	TFEb.expon.peak33	TFEb.expon_r1_peak_37	TFEb.expon_r2_peak_38	2.788	3.19335
gi|15896971|ref|NC_002754.1|	67812	67813	TFEb.expon.peak34	TFEb.expon_r1_peak_40	TFEb.expon_r2_peak_41	7.89799	8.53588
gi|15896971|ref|NC_002754.1|	70605	70606	TFEb.expon.peak35	TFEb.expon_r1_peak_42	TFEb.expon_r2_peak_42	3.67935	3.76544
gi|15896971|ref|NC_002754.1|	72020	72021	TFEb.expon.peak36	TFEb.expon_r1_peak_43	TFEb.expon_r2_peak_43	5.76055	6.83756
gi|15896971|ref|NC_002754.1|	72601	72602	TFEb.expon.peak37	TFEb.expon_r1_peak_44a	TFEb.expon_r2_peak_44a	2.72666	3.07453
gi|15896971|ref|NC_002754.1|	72862	72863	TFEb.expon.peak38	TFEb.expon_r1_peak_44b	TFEb.expon_r2_peak_44b	5.02926	4.27116
gi|15896971|ref|NC_002754.1|	74111	74112	TFEb.expon.peak39	TFEb.expon_r1_peak_45	TFEb.expon_r2_peak_45	8.63291	9.73964
gi|15896971|ref|NC_002754.1|	78054	78055	TFEb.expon.peak40	TFEb.expon_r1_peak_46	TFEb.expon_r2_peak_46	24.79241	23.47403
gi|15896971|ref|NC_002754.1|	79097	79098	TFEb.expon.peak41	TFEb.expon_r1_peak_47a	TFEb.expon_r2_peak_47a	2.67386	2.63521
gi|15896971|ref|NC_002754.1|	79422	79423	TFEb.expon.peak42	TFEb.expon_r1_peak_47b	TFEb.expon_r2_peak_47b	4.82506	5.45439
gi|15896971|ref|NC_002754.1|	80424	80425	TFEb.expon.peak43	TFEb.expon_r1_peak_48	TFEb.expon_r2_peak_48	3.61457	3.78997
gi|15896971|ref|NC_002754.1|	80852	80853	TFEb.expon.peak44	TFEb.expon_r1_peak_49	TFEb.expon_r2_peak_49	7.52565	7.13531
gi|15896971|ref|NC_002754.1|	82938	82939	TFEb.expon.peak45	TFEb.expon_r1_peak_51	TFEb.expon_r2_peak_51	4.75716	5.32695
gi|15896971|ref|NC_002754.1|	84055	84056	TFEb.expon.peak46	TFEb.expon_r1_peak_52	TFEb.expon_r2_peak_52	2.50837	2.41974
gi|15896971|ref|NC_002754.1|	85319	85320	TFEb.expon.peak47	TFEb.expon_r1_peak_53	TFEb.expon_r2_peak_54	2.22533	2.44761
gi|15896971|ref|NC_002754.1|	85751	85752	TFEb.expon.peak48	TFEb.expon_r1_peak_54	TFEb.expon_r2_peak_55	3.23683	2.84709
gi|15896971|ref|NC_002754.1|	87443	87444	TFEb.expon.peak49	TFEb.expon_r1_peak_55	TFEb.expon_r2_peak_56	2.26306	2.71485
gi|15896971|ref|NC_002754.1|	87822	87823	TFEb.expon.peak50	TFEb.expon_r1_peak_56	TFEb.expon_r2_peak_57	3.02866	3.12356
gi|15896971|ref|NC_002754.1|	88163	88164	TFEb.expon.peak51	TFEb.expon_r1_peak_57	TFEb.expon_r2_peak_58	3.74311	3.9173
gi|15896971|ref|NC_002754.1|	88631	88632	TFEb.expon.peak52	TFEb.expon_r1_peak_58	TFEb.expon_r2_peak_59	2.73605	3.05486
gi|15896971|ref|NC_002754.1|	89424	89425	TFEb.expon.peak53	TFEb.expon_r1_peak_59	TFEb.expon_r2_peak_60	2.25073	2.23792
gi|15896971|ref|NC_002754.1|	92234	92235	TFEb.expon.peak54	TFEb.expon_r1_peak_61a	TFEb.expon_r2_peak_62a	3.06293	2.67797
gi|15896971|ref|NC_002754.1|	93195	93196	TFEb.expon.peak55	TFEb.expon_r1_peak_62	TFEb.expon_r2_peak_63	8.70331	9.26579
gi|15896971|ref|NC_002754.1|	97753	97754	TFEb.expon.peak56	TFEb.expon_r1_peak_65	TFEb.expon_r2_peak_66	2.88626	2.94218
gi|15896971|ref|NC_002754.1|	102705	102706	TFEb.expon.peak57	TFEb.expon_r1_peak_68	TFEb.expon_r2_peak_69	2.07978	2.10844
gi|15896971|ref|NC_002754.1|	103350	103351	TFEb.expon.peak58	TFEb.expon_r1_peak_69	TFEb.expon_r2_peak_70b	2.74041	3.06574
gi|15896971|ref|NC_002754.1|	105210	105211	TFEb.expon.peak59	TFEb.expon_r1_peak_72	TFEb.expon_r2_peak_73	5.57508	4.73308
gi|15896971|ref|NC_002754.1|	107733	107734	TFEb.expon.peak60	TFEb.expon_r1_peak_74	TFEb.expon_r2_peak_74	11.17244	11.30121
gi|15896971|ref|NC_002754.1|	110066	110067	TFEb.expon.peak61	TFEb.expon_r1_peak_78	TFEb.expon_r2_peak_77	2.33988	2.37012
gi|15896971|ref|NC_002754.1|	110873	110874	TFEb.expon.peak62	TFEb.expon_r1_peak_79	TFEb.expon_r2_peak_78	6.08446	5.19724
gi|15896971|ref|NC_002754.1|	111344	111345	TFEb.expon.peak63	TFEb.expon_r1_peak_80	TFEb.expon_r2_peak_79	3.74249	4.61407
gi|15896971|ref|NC_002754.1|	114648	114649	TFEb.expon.peak64	TFEb.expon_r1_peak_81	TFEb.expon_r2_peak_80	6.76536	6.82704
gi|15896971|ref|NC_002754.1|	119844	119845	TFEb.expon.peak65	TFEb.expon_r1_peak_82	TFEb.expon_r2_peak_81	3.79774	3.70788
gi|15896971|ref|NC_002754.1|	120183	120184	TFEb.expon.peak66	TFEb.expon_r1_peak_83	TFEb.expon_r2_peak_82	5.60605	6.43354
gi|15896971|ref|NC_002754.1|	122655	122656	TFEb.expon.peak67	TFEb.expon_r1_peak_84	TFEb.expon_r2_peak_83	13.08993	13.85748
gi|15896971|ref|NC_002754.1|	124095	124096	TFEb.expon.peak68	TFEb.expon_r1_peak_85a	TFEb.expon_r2_peak_84a	9.41375	8.05248
gi|15896971|ref|NC_002754.1|	124260	124261	TFEb.expon.peak69	TFEb.expon_r1_peak_85b	TFEb.expon_r2_peak_84b	3.94843	4.81126
gi|15896971|ref|NC_002754.1|	125245	125246	TFEb.expon.peak70	TFEb.expon_r1_peak_86	TFEb.expon_r2_peak_85	2.30755	2.90922
gi|15896971|ref|NC_002754.1|	126601	126602	TFEb.expon.peak71	TFEb.expon_r1_peak_88	TFEb.expon_r2_peak_86	4.03748	3.53632
gi|15896971|ref|NC_002754.1|	127124	127125	TFEb.expon.peak72	TFEb.expon_r1_peak_89	TFEb.expon_r2_peak_87	4.01099	3.89164
gi|15896971|ref|NC_002754.1|	128640	128641	TFEb.expon.peak73	TFEb.expon_r1_peak_90	TFEb.expon_r2_peak_88	3.18798	3.10872
gi|15896971|ref|NC_002754.1|	133604	133605	TFEb.expon.peak74	TFEb.expon_r1_peak_93b	TFEb.expon_r2_peak_91b	2.0483	2.03523
gi|15896971|ref|NC_002754.1|	135573	135574	TFEb.expon.peak75	TFEb.expon_r1_peak_94	TFEb.expon_r2_peak_92	2.49147	2.65404
gi|15896971|ref|NC_002754.1|	136399	136400	TFEb.expon.peak76	TFEb.expon_r1_peak_95	TFEb.expon_r2_peak_93a	6.25377	6.35351
gi|15896971|ref|NC_002754.1|	138462	138463	TFEb.expon.peak77	TFEb.expon_r1_peak_97	TFEb.expon_r2_peak_95	9.12642	8.3083
gi|15896971|ref|NC_002754.1|	142585	142586	TFEb.expon.peak78	TFEb.expon_r1_peak_98	TFEb.expon_r2_peak_96b	5.72554	4.66145
gi|15896971|ref|NC_002754.1|	143394	143395	TFEb.expon.peak79	TFEb.expon_r1_peak_100	TFEb.expon_r2_peak_98	4.16794	3.7907
gi|15896971|ref|NC_002754.1|	146776	146777	TFEb.expon.peak80	TFEb.expon_r1_peak_102	TFEb.expon_r2_peak_100	7.05491	6.68634
gi|15896971|ref|NC_002754.1|	147256	147257	TFEb.expon.peak81	TFEb.expon_r1_peak_103	TFEb.expon_r2_peak_101	4.56416	4.64273
