operon_id	chromosome	TSS_start	TSS_end	score	strand	RNAP1_promoter	RNAP1_body	spt45_r1_promoter	spt45_r1_body	elf1_r1_promoter	elf1_r1_body	cpsf1_r1_promoter	cpsf1_r1_body	RNAP2_promoter	RNAP2_body	spt45_r2_promoter	spt45_r2_body	elf1_r2_promoter	elf1_r2_body	cpsf1_r2_promoter	cpsf1_r2_body	EI_RNAP1	EI_RNAP2	EI_spt45_r1	EI_spt45_r2	EI_elf1_r1	EI_elf1_r2	EI_RNAPmean	EI_Spt45mean	EI_Elf1mean	EI_RNAPsd	EI_Spt45sd	EI_Elf1sd	TFB1_peakStart	TFB1_foldR1	TFB1_foldR2	TFEb_peakStart	TFEb_foldR1	TFEb_foldR2	first.cistron	Synonym	Product	Raw.Counts.h2o2.Replicate.1	Raw.Counts.h2o2.Replicate.2	Normalized.Counts.h2o2.Replicate.1	Normalized.Counts.h2o2.Replicate.2	RPKM.h2o2	Expression.h2o2	Raw.Counts.expon.Replicate.1	Raw.Counts.expon.Replicate.2	Normalized.Counts.expon.Replicate.1	Normalized.Counts.expon.Replicate.2	RPKM.expon	Expression.expon	Raw.Counts.stat.Replicate.1	Raw.Counts.stat.Replicate.2	Raw.Counts.stat.Replicate.3	Normalized.Counts.stat.Replicate.1	Normalized.Counts.stat.Replicate.2	Normalized.Counts.stat.Replicate.3	RPKM.stat	Expression.stat	pValue.h2o2.vs.expon	qValue.h2o2.vs.expon	pValue.h2o2.vs.stat	qValue.h2o2.vs.stat	pValue.expon.vs.stat	qValue.expon.vs.stat
ID_54	gi|15896971|ref|NC_002754.1|	59844	59845	.	-	6.51958	1.794476	4.83426666666667	2.623304	3.02557333333333	2.613068	2.02511333333333	1.03749	5.55903333333333	1.85248	4.29145333333333	2.72588	3.33224	3.270152	2.9445	1.474496	-1.86121639898534	-1.58537606607508	-0.881912053764373	-0.654744257603698	-0.211463884421483	-0.02713461735168	-1.72329623253021	-0.768328155684035	-0.119299250886582	0.195048569925603	0.160631889132417	0.130340474716204	59848	4.95695	4.42723	59842	3.52445	2.70518	SSO0074	SSO0074	30S ribosomal protein S13P	12226	5723	339388	226375	458	568	20905	13480	460929	403723	957	868	615	641	493	38102	30813	33298	28	68	0.845719707344279	1	4.93997873949517e-218	6.00709133439393e-217	0	0
ID_71	gi|15896971|ref|NC_002754.1|	79429	79430	.	-	10.24028	3.66654	6.12964666666667	4.606036	3.34612666666667	4.75052	1.70017933333333	1.266156	9.93026666666667	3.671176	5.44994666666667	4.118052	3.96499333333333	5.663628	3.01598	1.816232	-1.48176397987916	-1.43559017990482	-0.412278227510068	-0.404280064232866	0.505593382722988	0.514408068822724	-1.45867707989199	-0.408279145871467	0.510000725772856	0.0326498070750042	0.00565555549034694	0.00623292431515421	79417	6.28981	6.55023	79422	5.85722	5.31362	SSO0097	SSO0097	hypothetical protein	16886	20982	468734	829871	425	574	58410	35589	1287854	1065851	1152	1040	26325	29510	25264	1629559	1416879	1704503	576	1400	0.865406512182377	1	0.875741065784288	1	0.949310467530135	1
ID_81	gi|15896971|ref|NC_002754.1|	89409	89410	.	+	8.62152666666667	1.50254	7.10349333333333	2.364188	3.71096666666667	2.214816	1.79796666666667	0.8835908	7.61108666666667	1.766548	6.19596	2.389508	4.66336666666667	3.534676	2.93516	1.1575832	-2.52053996052535	-2.10716949789137	-1.58718392005545	-1.37461423268711	-0.744608193092771	-0.399793890028528	-2.31385472920836	-1.48089907637128	-0.572201041560649	0.292297057270708	0.15030946741286	0.243820531946839	89421	5.2913	4.91151	89419	4.49831	3.59683	SSO0110	SSO0110	hypothetical protein	6301	9429	174910	372953	221	303	18229	13597	401928	407243	488	448	9905	12012	8543	613149	576767	576413	271	652	0.795672858894297	1	0.392121950407379	0.840107110542445	0.167095030812819	0.322884438808384
ID_116	gi|15896971|ref|NC_002754.1|	136387	136388	.	+	6.42705333333333	2.007796	4.46952	3.15474	2.62852666666667	3.42768	1.90536666666667	1.219916	5.74121333333333	2.256216	3.89046666666667	3.269844	3.04481333333333	4.285448	2.68356666666667	1.826732	-1.67854475105359	-1.34745047310055	-0.502598793383562	-0.250721410522907	0.382978057911454	0.49309224696877	-1.51299761207707	-0.376660101953235	0.438035152440112	0.234119009152658	0.178104205448289	0.0778624897872856	136402	3.85321	3.12661	136401	3.8953	3.33996	SSO0164	SSO0164	30S ribosomal protein S8e	20291	8455	563279	334439	910	1116	27643	22070	609487	660997	1714	1580	712	835	673	44117	40127	45446	44	107	0.356754936876033	0.958220982308101	0	0	0	0
ID_129	gi|15896971|ref|NC_002754.1|	147332	147333	.	+	15.47054	4.303256	13.80046	6.98594	6.77418666666667	6.683008	4.79152666666667	1.4931	12.42426	3.666956	10.4702133333333	6.101396	7.65993333333333	8.37756	8.00764666666667	2.474692	-1.84602298136563	-1.76050506585228	-0.982190198983427	-0.779079563534552	-0.0195501404946084	0.129198278031058	-1.80326402360895	-0.88063488125899	0.0548240687682248	0.0604702979724279	0.143620907657008	0.105181015430273	147311	10.13249	8.45631	147315	3.97134	3.08005	SSO0176	SSO0176	AAA family ATPase	17138	25432	475741	1005887	233	320	13830	7435	304937	222675	127	114	3958	4917	3231	245040	236091	217985	42	100	1.94486588620725e-09	4.69870771330184e-08	1.91210392028831e-17	8.91074776026571e-17	0.278836388916811	0.529925322770472
ID_135	gi|15896971|ref|NC_002754.1|	163913	163914	.	-	10.92512	1.2514544	6.36972666666667	1.2073436	2.51886	1.285932	1.73769333333333	1.1452252	9.10852666666667	1.1768296	5.31109333333333	1.388652	2.52967333333333	1.427516	2.4985	1.0514028	-3.12597149742894	-2.95231227306398	-2.39939515227096	-1.93532378125891	-0.969956583237815	-0.825444180253035	-3.03914188524646	-2.16735946676494	-0.897700381745425	0.122795615164054	0.328148013397159	0.102185700116101	163919	9.0689	8.79866	163934	4.51539	3.36599	SSO0189	SSO0189	ATP-dependent DNA ligase	1884	1430	52304	56591	23	30	1640	1027	36162	30758	20	18	1798	2231	1741	111327	107140	117469	25	62	4.82253811561455e-06	1	0.279403446598942	1	3.96345101164577e-26	1
ID_138	gi|15896971|ref|NC_002754.1|	166332	166333	.	-	18.3392	3.8155	12.9785666666667	7.242288	5.33621333333333	5.496984	2.44564666666667	1.31466	10.6816733333333	3.01488	7.73671333333333	5.2488	5.39440666666667	6.206372	3.66520666666667	1.719904	-2.2649866747773	-1.82496518415654	-0.841613609158419	-0.559733192769972	0.0428239358163701	0.20228588655745	-2.04497592946692	-0.700673400964196	0.12255491118691	0.311142179885748	0.199319553911958	0.112756626710253	166326	9.80963	6.65074	166330	6.57296	3.77082	SSO0192	SSO0192	Glutaredoxin related protein	30822	30841	855580	1219794	1115	1478	42328	36098	933264	1081101	1548	1434	32187	39366	36578	1992397	1890088	2467803	1239	3015	0.310690099133123	0.858950513855605	0.576998193439521	1	0.136540453092458	0.265490587430869
ID_145	gi|15896971|ref|NC_002754.1|	175942	175943	.	-	7.59592666666667	1.585384	5.51267333333333	2.243124	2.54329333333333	2.017636	1.62936666666667	1.119956	5.23169333333333	1.431104	3.67496	1.785712	2.41183333333333	2.364204	2.06004	1.281508	-2.26039365572274	-1.87014945851297	-1.29724273873237	-1.04122912599409	-0.334031943799542	-0.0287756884111415	-2.06527155711785	-1.16923593236323	-0.181403816105342	0.275944318165724	0.181028961643304	0.21584876818475	175966	5.24044	3.85259	175942	5.07032	3.61545	SSO0201	SSO0201	CTP synthetase	8122	7817	225480	309192	125	166	17212	9459	379493	283299	229	206	745	890	697	46142	42745	47026	11	28	0.32172860703536	0.881638339525594	7.65154124443034e-100	6.90412982432221e-99	8.26253201855359e-165	5.36978333481364e-164
ID_159	gi|15896971|ref|NC_002754.1|	186913	186914	.	-	11.4790066666667	2.065936	8.96609333333333	3.505604	5.13846	3.501096	1.99131333333333	0.9650052	10.1545	2.359552	7.91649333333333	3.810644	6.44796666666667	5.058948	3.11264	1.1693844	-2.47413033691578	-2.10553433298696	-1.35481648172676	-1.05482668560973	-0.553529426515672	-0.350006875722403	-2.28983233495137	-1.20482158366824	-0.451768151119038	0.260636733896333	0.212124819121124	0.143912175790304	186904	7.2598	5.82182	186914	7.85339	6.2881	SSO0216	SSO0216	elongation factor 1-alpha	61046	64558	1694572	2553320	1219	1623	195667	77371	4314123	2317195	2894	2534	24044	24844	19013	1488313	1192850	1282736	417	1010	0.600742715552393	1	0.00603181844306331	0.0162150697869224	2.62478313881146e-06	6.19950676109263e-06
ID_172	gi|15896971|ref|NC_002754.1|	205267	205268	.	-	24.2909333333333	3.80698	16.393	5.91684	6.19936666666667	6.613224	3.48871333333333	1.495276	24.5941333333333	3.85244	16.6584066666667	6.453012	8.04509333333333	9.935332	8.20843333333333	2.729752	-2.67369902805398	-2.67446982446937	-1.47018111077397	-1.36820580384022	0.0932329327892496	0.304459019368788	-2.67408442626168	-1.4191934573071	0.198845976079019	0.00054503537223421	0.072107431046434	0.149359398183889	205265	25.10611	26.42284	205259	7.11057	7.93411	SSO0235	SSO0235	hypothetical protein	35416	55693	983129	2202736	660	910	109606	57254	2416617	1714717	1322	1181	16439	22901	16671	1017614	1099564	1124724	257	617	0.809042375414439	1	0.0151439084641931	0.0395163344920647	0.000698986519126354	0.00151422758109975
ID_177	gi|15896971|ref|NC_002754.1|	210083	210084	.	+	15.15758	4.13152	11.6831266666667	5.469344	4.77312666666667	4.248048	2.57524666666667	1.3146168	13.7832733333333	3.869284	10.8815333333333	4.987652	7.45586	6.728316	6.53038	2.669108	-1.87529488010146	-1.83278001892417	-1.0949867135851	-1.12544914962821	-0.168134554673839	-0.1481293061554	-1.85403744951281	-1.11021793160666	-0.15813193041462	0.0300625466396681	0.0215401950975445	0.0141458468867107	210094	10.15207	10.18293	210084	7.31936	5.15835	SSO0242	SSO0242	adenylosuccinate synthetase	1730	1697	48045	67139	43	57	2266	1889	49975	56598	57	52	375	470	326	23218	22605	22030	9	22	0.0331871999984376	1	6.23092372581262e-17	1	4.74053107355921e-12	1
ID_182	gi|15896971|ref|NC_002754.1|	216094	216095	.	-	14.3912733333333	2.96548	11.37982	3.088268	7.70083333333333	3.411824	2.80812666666667	1.872016	12.9592333333333	3.44556	9.93925333333333	3.468012	9.07510666666667	4.21798	4.85339333333333	3.138364	-2.27885669972041	-1.91116998563535	-1.88160787775956	-1.51902858568312	-1.17447134648197	-1.1053623458497	-2.09501334267788	-1.70031823172134	-1.13991684616584	0.25999376888175	0.256382276145064	0.0488674429881008	216088	11.02804	12.13947	216098	7.873	5.76307	SSO0249	SSO0249	HIT-like protein, hypothetical (hit)	2871	2698	79706	106716	137	180	3328	2402	73393	71949	153	140	2031	3127	1906	125776	150139	128601	110	261	0.00375869949960389	0.0226321693274021	0.629517907087972	1	0.000252967882447978	0.000556922926492614
ID_183	gi|15896971|ref|NC_002754.1|	217132	217133	.	-	23.2351933333333	2.306988	13.4170266666667	4.175208	3.96656666666667	3.783736	3.01280666666667	1.18422	22.7314733333333	2.692628	12.4536866666667	4.31804	5.18802	5.579288	5.31905333333333	1.648704	-3.33222924429884	-3.07760436181678	-1.68414501631599	-1.52812437385626	-0.0680793647541491	0.104896983249507	-3.20491680305781	-1.60613469508612	0.0184088092476788	0.180046981061891	0.11032325428836	0.122312748658269	217143	25.1558	23.3722	217137	9.28027	6.29199	SSO0250	SSO0250	DNA repair and recombination protein RadA	28862	31885	801195	1261105	791	1057	27269	22783	601253	682348	711	658	46491	56432	48838	2877811	2709492	3294910	1252	3036	0.0199410283630426	0.0919650685839281	0.575011916131939	1	1.09498508843349e-15	3.32230855779088e-15
ID_189	gi|15896971|ref|NC_002754.1|	224389	224390	.	-	10.0885533333333	3.808428	8.80532	3.854128	6.37399333333333	4.706036	3.47542	1.951844	9.1874	3.280056	8.00812	4.010784	8.13896	5.925424	6.407	3.71878	-1.40545178507077	-1.4859361959359	-1.19197094896874	-0.997579320637856	-0.437685153316432	-0.457926066763324	-1.44569399050334	-1.0947751348033	-0.447805610039878	0.0569110727025353	0.137455638598661	0.014312487155707	224391	4.93239	5.80799	224362	3.04565	2.8009	SSO5522	SSO5522	Regulatory protein, AsnC family, putative	15651	6293	434461	248897	1109	1355	8601	7858	189639	235355	905	843	2628	4075	2004	162698	195653	135266	278	652	0.000650338030748461	0.00490194259012097	9.76196126072234e-07	3.29241445337255e-06	0.157365945109412	0.304841435672433
ID_207	gi|15896971|ref|NC_002754.1|	239339	239340	.	+	33.1445333333333	4.261016	24.4792666666667	7.196256	12.8415733333333	5.90194	3.87057333333333	1.283988	29.4876666666667	4.464968	21.7132	7.575944	16.3847666666667	10.46758	6.99413333333333	1.792088	-2.95950156630487	-2.72338992687797	-1.76624192426821	-1.51907478812412	-1.1215608111573	-0.646427183667653	-2.84144574659142	-1.64265835619617	-0.883993997412475	0.166956141355837	0.174773558053951	0.335970209967691	239354	14.22014	14.11168	239343	6.43344	5.85792	SSO0282	SSO0282	Thermosome beta subunit(thermophilic factor 55)	70553	46308	1958480	1831550	887	1132	89241	34013	1967614	1018656	1020	891	11776	14221	9814	728939	682802	662148	172	412	0.204227182065097	0.624517895647	1.48801392548721e-06	4.98084661294805e-06	0.00030670512237251	0.000672849221948996
ID_208	gi|15896971|ref|NC_002754.1|	244715	244716	.	-	11.5975066666667	2.424744	7.80162666666667	2.75806	3.53707333333333	2.758828	2.09249333333333	1.458468	8.58607333333333	1.991744	5.53701333333333	2.315668	3.56274666666667	3.080644	2.91801333333333	2.017196	-2.25791033213072	-2.1079662659434	-1.50012112015211	-1.25767956863935	-0.358500616197097	-0.209757928768201	-2.18293829903706	-1.37890034439573	-0.284129272482649	0.106026465999736	0.171432065116058	0.105176962932883	244713	11.06782	7.99269	244707	4.78671	3.50071	SSO0286	SSO0286	hypothetical protein	17543	16730	486986	661708	379	499	31308	19165	690290	573975	609	550	19190	22003	15978	1187870	1056449	1078017	400	963	0.216438762115716	0.647859486986752	0.584372329486348	1	0.0624103332353768	0.123747367746323
