Transcription Start	Translation Start	Translation Stop	Transcription Stop	Strand	Name	Synonym	Product	Raw Counts h2o2 Replicate 1	Raw Counts h2o2 Replicate 2	Normalized Counts h2o2 Replicate 1	Normalized Counts h2o2 Replicate 2	RPKM h2o2	Expression h2o2	Raw Counts expon Replicate 1	Raw Counts expon Replicate 2	Normalized Counts expon Replicate 1	Normalized Counts expon Replicate 2	RPKM expon	Expression expon	Raw Counts stat Replicate 1	Raw Counts stat Replicate 2	Raw Counts stat Replicate 3	Normalized Counts stat Replicate 1	Normalized Counts stat Replicate 2	Normalized Counts stat Replicate 3	RPKM stat	Expression stat	pValue h2o2 vs expon	qValue h2o2 vs expon	pValue h2o2 vs stat	qValue h2o2 vs stat	pValue expon vs stat	qValue expon vs stat
	1	252		+	SSO12256b	SSO12256b	Glycosyltransferase, putative	139	100	3873	3965	12	15	368	255	8115	7658	34	31	23	32	28	1459	1577	1952	2	6	0.24596233318092953	1.0	3.263745360863797E-9	1.0	4.596607390004283E-41	1.0
	249	857		+	SSO0001	SSO0001	hypothetical protein	1198	828	33260	32752	42	54	1944	1244	42872	37275	72	65	226	274	206	13995	13184	13943	9	22	0.23582662167637397	0.6938830560288772	8.48042662699863E-17	1.0	5.11251721616378E-23	1.741276377890355E-22
	889	2091		+	SSO0002	SSO0002	Phosphomethylpyrimidine kinase (thiD-1)	2401	1918	66670	75864	45	59	2351	1649	51850	49406	46	42	444	517	368	27543	24842	24846	8	21	8.136474838519175E-4	1.0	2.5540959522237348E-20	1.0	1.8628268186067868E-7	1.0
	2088	2969	2969	+	SSO0004	SSO0004	Ribokinase (rbsK-1)	704	550	19547	21766	18	23	1052	629	23194	18847	26	23	218	240	193	13507	11560	13052	5	14	0.018369200517783544	1.0	5.012029791582068E-7	1.0	2.7969692010706423E-4	1.0
	3057	3743		+	SSO0006	SSO0006	hypothetical protein	486	448	13509	17754	17	22	884	505	19491	15153	28	25	154	178	145	9542	8551	9801	5	13	0.08842901754252477	1.0	2.6011910979654383E-7	1.0	2.756546266120794E-6	1.0
	3736	4458	4458	+	SSO0007	SSO0007	hypothetical protein	2485	1680	69005	66450	73	93	1971	1451	43463	43478	65	60	533	730	644	33002	35055	43466	21	51	3.952882030393622E-5	3.995234337862125E-4	4.1037598875601667E-7	1.396175358467191E-6	0.3357858929643746	0.6312207033804941
4500	4500	5348	5445	+	SSO0008	SSO0008	Transposase, probably IS605-TnpB family	3302	3883	91684	153610	107	144	4271	3166	94175	94844	121	111	17960	20128	17102	1111726	966425	1153813	523	1268	0.004751510798315324	0.027340948456849545	1.7754108440101828E-28	9.99431095371374E-28	0.0	0.0
6334	6334	5351	5351	-	SSO0009	SSO0009	Deacetylase, putative	3534	1354	98125	53582	63	77	1956	1694	43147	50745	51	47	556	573	633	34434	27545	42764	14	35	3.9128755757752836E-5	3.967681324882234E-4	2.036718711285864E-10	7.905617641188147E-10	0.04871945456924734	1.0
6376	6376	7431	7431	+	SSO0010	SSO0010	X-pro aminopeptidase	2924	2819	81167	111495	69	91	7683	6079	169398	182070	180	166	1265	1875	1105	78328	90023	74564	32	76	0.6538159217121982	1.0	0.003976979539568665	0.01081252166522031	4.457399149357641E-8	1.1082974083027425E-7
7555	7555	10479	10479	+	SSO0011	SSO0011	hypothetical protein	13377	15361	371330	607556	124	167	25845	12815	569841	383811	183	163	1293	2005	1140	80090	96290	76943	12	28	0.12557455644162838	0.4283755934838254	1.477668540487822E-84	1.2332391867395682E-83	6.811778459469636E-79	3.5282972286737066E-78
	10496	10651		+	SSO5023	SSO5023	hypothetical protein	26	16	737	636	3	4	21	9	484	271	2	2	20	30	27	1274	1486	1886	4	9	3.862153250679016E-5	1.0	0.0022475740206631765	1.0	2.5474923136990836E-31	1.0
11143	11143	11760	11760	+	SSO0012	SSO0012	hypothetical protein	492	167	13668	6639	13	16	312	261	6888	7825	12	11	160	284	198	9963	13681	13414	8	19	1.7544046075610448E-4	1.0	0.16386687315503276	1.0	5.282561854268761E-4	1.0
