as.character(peaks$V1)	start	end	peak	peak_rep1	peak_rep2	fold_rep1	fold_rep2
gi|15896971|ref|NC_002754.1|	121	122	TFB1.expon.peak1	TFB1.expon_r1_peak_1a	TFB1.expon_r2_peak_1a	2.72643	2.75715
gi|15896971|ref|NC_002754.1|	335	336	TFB1.expon.peak2	TFB1.expon_r1_peak_1b	TFB1.expon_r2_peak_1b	1.50121	1.50662
gi|15896971|ref|NC_002754.1|	505	506	TFB1.expon.peak3	TFB1.expon_r1_peak_1c	TFB1.expon_r2_peak_1c	2.70549	2.87208
gi|15896971|ref|NC_002754.1|	1779	1780	TFB1.expon.peak4	TFB1.expon_r1_peak_3	TFB1.expon_r2_peak_3	4.31168	5.31178
gi|15896971|ref|NC_002754.1|	3700	3701	TFB1.expon.peak5	TFB1.expon_r1_peak_4	TFB1.expon_r2_peak_4	3.15621	3.04373
gi|15896971|ref|NC_002754.1|	4448	4449	TFB1.expon.peak6	TFB1.expon_r1_peak_5	TFB1.expon_r2_peak_5	3.79053	4.5351
gi|15896971|ref|NC_002754.1|	6254	6255	TFB1.expon.peak7	TFB1.expon_r1_peak_6	TFB1.expon_r2_peak_6	7.03884	7.61144
gi|15896971|ref|NC_002754.1|	7337	7338	TFB1.expon.peak8	TFB1.expon_r1_peak_7	TFB1.expon_r2_peak_7	4.6521	4.80215
gi|15896971|ref|NC_002754.1|	10511	10512	TFB1.expon.peak9	TFB1.expon_r1_peak_8	TFB1.expon_r2_peak_8	4.21095	4.66477
gi|15896971|ref|NC_002754.1|	12068	12069	TFB1.expon.peak10	TFB1.expon_r1_peak_9b	TFB1.expon_r2_peak_9b	8.48983	10.57554
gi|15896971|ref|NC_002754.1|	12348	12349	TFB1.expon.peak11	TFB1.expon_r1_peak_9c	TFB1.expon_r2_peak_9c	1.97168	2.05098
gi|15896971|ref|NC_002754.1|	13879	13880	TFB1.expon.peak12	TFB1.expon_r1_peak_10	TFB1.expon_r2_peak_10	8.26665	7.53384
gi|15896971|ref|NC_002754.1|	15555	15556	TFB1.expon.peak13	TFB1.expon_r1_peak_11b	TFB1.expon_r2_peak_11b	3.39167	3.72543
gi|15896971|ref|NC_002754.1|	17707	17708	TFB1.expon.peak14	TFB1.expon_r1_peak_12	TFB1.expon_r2_peak_12	2.23303	2.59855
gi|15896971|ref|NC_002754.1|	18222	18223	TFB1.expon.peak15	TFB1.expon_r1_peak_13	TFB1.expon_r2_peak_13	13.62903	16.45624
gi|15896971|ref|NC_002754.1|	19304	19305	TFB1.expon.peak16	TFB1.expon_r1_peak_14	TFB1.expon_r2_peak_14	2.38431	2.40668
gi|15896971|ref|NC_002754.1|	21054	21055	TFB1.expon.peak17	TFB1.expon_r1_peak_16	TFB1.expon_r2_peak_17	3.49139	4.26794
gi|15896971|ref|NC_002754.1|	22499	22500	TFB1.expon.peak18	TFB1.expon_r1_peak_17	TFB1.expon_r2_peak_18	3.47497	4.05112
gi|15896971|ref|NC_002754.1|	23836	23837	TFB1.expon.peak19	TFB1.expon_r1_peak_18a	TFB1.expon_r2_peak_19a	7.23636	6.9997
gi|15896971|ref|NC_002754.1|	27679	27680	TFB1.expon.peak20	TFB1.expon_r1_peak_20a	TFB1.expon_r2_peak_21a	5.66158	6.17493
gi|15896971|ref|NC_002754.1|	27910	27911	TFB1.expon.peak21	TFB1.expon_r1_peak_20b	TFB1.expon_r2_peak_21b	2.31274	2.14516
gi|15896971|ref|NC_002754.1|	29249	29250	TFB1.expon.peak22	TFB1.expon_r1_peak_21a	TFB1.expon_r2_peak_23a	3.64477	4.19651
gi|15896971|ref|NC_002754.1|	29534	29535	TFB1.expon.peak23	TFB1.expon_r1_peak_21b	TFB1.expon_r2_peak_23b	2.82474	2.88528
gi|15896971|ref|NC_002754.1|	32528	32529	TFB1.expon.peak24	TFB1.expon_r1_peak_22	TFB1.expon_r2_peak_25	6.47218	6.6211
gi|15896971|ref|NC_002754.1|	41376	41377	TFB1.expon.peak25	TFB1.expon_r1_peak_25	TFB1.expon_r2_peak_28	3.19952	2.73102
gi|15896971|ref|NC_002754.1|	42977	42978	TFB1.expon.peak26	TFB1.expon_r1_peak_26	TFB1.expon_r2_peak_29b	2.9534	3.5933
gi|15896971|ref|NC_002754.1|	43431	43432	TFB1.expon.peak27	TFB1.expon_r1_peak_27	TFB1.expon_r2_peak_30	2.41897	2.91335
gi|15896971|ref|NC_002754.1|	47789	47790	TFB1.expon.peak28	TFB1.expon_r1_peak_29	TFB1.expon_r2_peak_32	4.39766	4.77609
