GeneBeg	GeneEnd	Strand	OpensOperon	operon_ID	Locus	Protein.accession	primTSS
249	857	+	1	1	SSO0001	NP_341578	NA
889	2091	+	1	2	SSO0002	NP_341579	889
2088	2969	+	0	2	SSO0004	NP_341580	NA
3057	3743	+	1	3	SSO0006	NP_341581	NA
3736	4458	+	1	4	SSO0007	NP_341582	NA
4500	5348	+	1	5	SSO0008	NP_341583	4500
5351	6334	-	1	6	SSO0009	NP_341584	6336
6376	7431	+	1	7	SSO0010	NP_341585	6376
7555	10479	+	1	8	SSO0011	NP_341586	NA
10496	10651	+	1	9	SSO5023	NP_341587	NA
11143	11760	+	1	10	SSO0012	NP_341588	NA
11767	11946	-	1	11	SSO5027	NP_341589	11948
12050	12673	+	1	12	SSO0013	NP_341590	NA
12647	13030	-	0	13	SSO0014	NP_341591	NA
13020	13880	-	1	13	SSO0015	NP_341592	NA
13920	15314	-	0	14	SSO0016	NP_341593	NA
15337	15555	-	1	14	NA	NA	15555
15589	17808	+	1	15	SSO0017	NP_341594	NA
17801	19660	+	1	16	SSO0018	NP_341595	NA
19647	20195	-	0	17	SSO0019	NP_341596	NA
20199	21008	-	1	17	SSO0020	NP_341597	21014
21513	22064	+	1	18	SSO0021	NP_341598	NA
22052	22492	-	1	19	SSO0022	NP_341599	NA
22598	23215	+	1	20	SSO0023	NP_341600	NA
23195	23842	-	1	21	SSO0024	NP_341601	NA
23895	24512	+	1	22	SSO0025	NP_341602	NA
24484	25713	+	1	23	SSO0026	NP_341603	24520
25702	26757	-	1	24	SSO0028	NP_341604	26765
26805	27947	+	1	25	SSO0029	NP_341605	26802
27944	28660	+	1	26	SSO0031	NP_341606	NA
28655	29461	-	1	27	SSO0032	NP_341607	NA
29591	30088	-	1	28	SSO0033	NP_341608	30088
30202	30864	+	1	29	SSO0034	NP_341609	30202
30861	31190	+	0	29	SSO0035	NP_341610	NA
31267	31734	+	1	30	SSO0036	NP_341611	31257
32275	34002	+	1	31	SSO0037	NP_341612	32275
34256	34702	+	1	32	SSO0038	NP_341613	NA
34685	35257	-	1	33	SSO0039	NP_341614	35257
35370	35828	+	1	34	SSO0040	NP_341615	NA
35789	36382	+	0	34	SSO0041	NP_341616	NA
36667	37320	-	1	35	SSO0042	NP_341617	NA
37479	37811	-	1	36	SSO0043	NP_341618	NA
38481	40262	+	1	37	SSO0044	NP_341619	38477
40264	41331	+	0	37	SSO0045	NP_341620	NA
41328	41528	+	0	37	SSO5098	NP_341621	NA
41625	41816	+	1	38	NA	NA	41614
41790	42533	-	1	39	SSO0046	NP_341622	NA
42568	42729	-	1	40	NA	NA	42739
42978	43367	+	1	41	SSO0048	NP_341623	42968
43434	43829	+	1	42	SSO0049	NP_341624	43433
43863	44612	+	1	43	SSO0050	NP_341625	43860
44609	45619	-	0	44	SSO0051	NP_341626	NA
45603	46343	-	1	44	SSO0053	NP_341627	46345
46297	47328	+	1	45	SSO0052	NP_341628	NA
47249	47788	+	0	45	SSO0054	NP_341629	NA
47785	48516	+	1	46	SSO0055	NP_341630	NA
48739	48814	+	1	47	SSOt01	N/A	NA
48833	49279	+	1	48	SSO0057	NP_341631	NA
49344	49430	+	1	49	SSOt02	N/A	NA
49748	49832	-	1	50	SSOt03	N/A	NA
49815	50180	-	1	51	SSOr01	N/A	NA
50238	51206	-	0	52	SSO0060	NP_341632	NA
51207	52205	-	0	52	SSO0061	NP_341633	NA
52207	53313	-	0	52	SSO0063	NP_341634	NA
53306	54031	-	1	52	SSO0064	NP_341635	NA
53977	54699	-	0	53	SSO0065	NP_341636	NA
54626	55480	-	1	53	SSO0066	NP_341637	NA
55477	56172	-	0	54	SSO0067	NP_341638	NA
56169	56369	-	0	54	SSO5140	NP_341639	NA
56376	56798	-	0	54	SSO0068	NP_341640	NA
56786	57235	-	0	54	SSO0069	NP_341641	NA
57232	57591	-	0	54	SSO0070	NP_341642	NA
57588	58385	-	0	54	SSO0071	NP_341643	NA
58397	58795	-	0	54	SSO0072	NP_341644	NA
58779	59324	-	0	54	SSO0073	NP_341645	59333
59335	59832	-	1	54	SSO0074	NP_341646	59845
59853	61151	-	1	55	SSO0076	NP_341647	61131
61275	61688	+	1	56	SSO0077	NP_341648	NA
61719	62819	+	1	57	SSO0078	NP_341649	NA
62827	64047	+	0	57	SSO0079	NP_341650	NA
64034	66328	-	1	58	SSO0081	NP_341651	NA
66380	66835	-	1	59	SSO0082	NP_341652	NA
66854	67888	+	1	60	SSO0083	NP_341653	NA
67859	68911	-	1	61	SSO0084	NP_341654	68922
68859	69437	-	0	62	SSO0085	NP_341655	NA
69430	69993	-	1	62	SSO0086	NP_341656	NA
70054	71214	+	1	63	SSO0087	NP_341657	NA
71195	72679	-	1	64	SSO0090	NP_341658	72674
72731	72869	-	1	65	SSOt04	N/A	72876
73708	74100	-	1	66	SSO0091	NP_341659	74121
74314	76041	-	1	67	SSO0093	NP_341660	NA
76025	76711	-	1	68	SSO0094	NP_341661	NA
76708	77907	-	1	69	SSO0095	NP_341662	NA
77945	78065	-	1	70	SSOr02	N/A	NA
78293	79423	-	1	71	SSO0097	NP_341663	79430
79467	80372	-	1	72	SSO0098	NP_341664	80372
80426	81109	+	1	73	SSO0099	NP_341665	80426
81106	82512	+	0	73	SSO0100	NP_341666	NA
82518	84152	+	1	74	SSO0101	NP_341667	NA
84240	84935	+	0	74	SSO0102	NP_341668	NA
84916	85734	-	1	75	SSO0103	NP_341669	85710
85752	86957	+	1	76	SSO0104	NP_341670	NA
86950	87813	-	1	77	SSO0106	NP_341671	87815
87870	88241	+	1	78	SSO0107	NP_341672	87869
88218	88610	-	1	79	SSO0108	NP_341673	88610
88678	89373	+	1	80	SSO0109	NP_341674	88648
89415	90317	+	1	81	SSO0110	NP_341675	89410
90305	90655	+	0	81	SSO0111	NP_341676	NA
90572	93199	-	1	82	SSO0112	NP_341677	93202
93241	94617	-	1	83	SSO0114	NP_341678	94618
94607	95191	-	0	84	SSO0115	NP_341679	NA
95139	95849	-	1	84	SSO0116	NP_341680	95849
95902	96168	+	1	85	SSO5209	NP_341681	95904
96149	96562	-	0	86	SSO0117	NP_341682	NA
96568	97032	-	1	86	SSO0118	NP_341683	NA
97075	98595	-	0	87	SSO0119	NP_341684	NA
98567	100018	-	0	87	SSO0120	NP_341685	NA
100015	102102	-	1	87	SSO0121	NP_341686	NA
102132	103238	-	1	88	SSO0122	NP_341687	NA
103509	104171	-	1	89	SSO0123	NP_341688	104173
104246	105148	+	1	90	SSO0124	NP_341689	104243
105256	106164	-	0	91	SSO0125	NP_341690	NA
106161	107822	-	1	91	SSO0127	NP_341691	NA
108316	109137	-	1	92	SSO0128	NP_341692	NA
109171	110052	-	1	93	SSO0129	NP_341693	110057
110094	110804	-	1	94	SSO0131	NP_341694	NA
111001	111396	-	1	95	SSO0132	NP_341695	NA
111846	112274	+	1	96	SSO0133	NP_341696	NA
112358	112801	+	0	96	SSO0134	NP_341697	NA
112903	113859	-	1	97	SSO0137	NP_341698	NA
114650	115024	-	1	98	SSO0138	NP_341699	NA
114659	114733	+	1	99	SSOt05	N/A	NA
115476	117074	-	1	100	SSO0140	NP_341700	NA
117302	118267	+	1	101	SSO0141	NP_341701	NA
118421	119638	-	1	102	SSO0142	NP_341702	119658
119890	120039	-	1	103	NA	NA	120049
121317	122189	-	1	104	SSO0143	NP_341703	NA
122559	122655	-	1	105	SSOt06	N/A	NA
122786	124021	+	1	106	SSO0144	NP_341704	NA
124663	125556	+	1	107	SSO0147	NP_341705	NA
125531	126319	-	0	108	SSO0149	NP_341706	NA
126291	126647	-	1	108	SSO0150	NP_341707	126585
127134	127763	+	1	109	SSO0151	NP_341708	NA
127806	129608	+	1	110	SSO0152	NP_341709	NA
129588	130016	-	1	111	SSO0154	NP_341710	NA
130070	131128	+	1	112	SSO0155	NP_341711	130069
131130	131924	+	0	112	SSO0156	NP_341712	NA
131917	132345	+	0	112	SSO0157	NP_341713	NA
132412	132582	+	1	113	SSO5317	NP_341714	132404
132570	133430	+	1	114	SSO0159	NP_341715	NA
133415	134593	+	0	114	SSO0160	NP_341716	NA
134541	135581	+	0	114	SSO0162	NP_341717	NA
135566	136354	+	1	115	SSO0163	NP_341718	NA
136398	136799	+	1	116	SSO0164	NP_341719	136388
136780	137088	+	0	116	SSO0165	NP_341720	NA
137128	138063	+	1	117	SSO0166	NP_341721	NA
138351	138445	-	1	118	SSOt07	N/A	138448
138497	139618	-	0	119	SSO0167	NP_341722	NA
139591	140172	-	0	119	SSO0168	NP_341723	NA
140169	140723	-	1	119	SSO0169	NP_341724	NA
140783	142498	-	1	120	SSO0170	NP_341725	142414
142457	142570	-	1	121	SSOt08	N/A	NA
142612	143181	+	1	122	SSO0171	NP_341726	142606
143195	143365	-	1	123	SSO5336	NP_341727	143376
143428	143940	+	1	124	SSO0172	NP_341728	143397
143942	145231	+	1	125	SSO0173	NP_341729	NA
145235	146368	-	1	126	SSO0174	NP_341730	146368
146365	146727	-	1	127	SSO0175	NP_341731	146730
146792	146989	+	1	128	SSO5343	NP_341732	146790
147003	147278	+	0	128	SSO5345	NP_341733	NA
147343	149652	+	1	129	SSO0176	NP_341734	147333
150044	150952	+	1	130	SSO0179	NP_341735	149865
151633	152913	+	1	131	SSO0180	NP_341736	NA
152828	153853	+	1	132	SSO0181	NP_341737	NA
153826	155106	+	0	132	SSO0182	NP_341738	NA
155103	155984	+	0	132	SSO0183	NP_341739	NA
155965	156678	+	0	132	SSO0184	NP_341740	NA
156665	156922	+	1	133	NA	NA	156627
156923	158560	+	0	133	SSO0185	NP_341741	NA
158520	159971	+	0	133	SSO0186	NP_341742	NA
159972	161090	+	0	133	SSO0187	NP_341743	NA
161092	162078	-	1	134	SSO0188	NP_341744	NA
162109	163914	-	1	135	SSO0189	NP_341745	163914
164314	164934	+	1	136	SSO0190	NP_341746	164380
164888	165574	-	1	137	SSO0191	NP_341747	165585
165619	166320	-	1	138	SSO0192	NP_341748	166333
166515	167198	-	0	139	SSO0193	NP_341749	NA
167125	167655	-	0	139	SSO0194	NP_341750	NA
167655	167876	-	1	139	NA	NA	167903
167915	169744	+	1	140	SSO0195	NP_341751	167913
169763	170626	+	1	141	SSO0197	NP_341752	169760
170623	172464	+	0	141	SSO0198	NP_341753	NA
172438	173670	-	1	142	SSO0199	NP_341754	173653
173686	173949	-	1	143	SSO5410	NP_341755	173949
174056	174355	+	1	144	SSO0200	NP_341756	NA
174323	175930	-	1	145	SSO0201	NP_341757	175943
176021	176698	+	1	146	SSO0202	NP_341758	176019
176721	177188	+	1	147	SSO0203	NP_341759	176710
177200	177619	-	1	148	SSO0205	NP_341760	177631
177662	178051	-	0	149	SSO0206	NP_341761	NA
178048	179415	-	1	149	SSO0207	NP_341762	179415
179480	179553	-	1	150	SSOt09	N/A	NA
179604	180845	-	1	151	SSO0210	NP_341763	180837
180731	181381	+	1	152	SSO0209	NP_341764	180878
181338	181526	+	1	153	NA	NA	181338
181365	181868	-	1	154	NA	NA	181870
181819	182715	-	0	155	SSO0212	NP_341765	NA
182678	183577	-	0	155	SSO0213	NP_341766	NA
183541	184449	-	1	155	SSO0214	NP_341767	184482
184612	184684	-	1	156	SSOt10	N/A	NA
184778	184880	-	1	157	SSOt11	N/A	184893
185144	185227	-	1	158	SSOt12	N/A	NA
185259	185567	-	0	159	SSO0215	NP_341768	NA
185592	186899	-	1	159	SSO0216	NP_341769	186914
186945	187526	-	1	160	SSO0217	NP_341770	187542
187602	188081	+	1	161	SSO0218	NP_341771	187593
188153	188605	-	1	162	SSO0219	NP_341772	NA
188611	188985	-	0	163	SSO0220	NP_341773	NA
189049	189375	-	1	163	SSO0221	NP_341774	189375
189372	190559	-	0	164	SSO0223	NP_341775	NA
190547	193189	-	0	164	SSO0225	NP_341776	NA
193195	195144	-	0	164	SSO0227	NP_341777	195144
195129	196571	-	1	164	SSO3254	NP_341778	196575
196577	196831	-	1	165	SSO5468	NP_341779	196842
197205	199007	+	1	166	SSO0228	NP_341780	197199
198996	199412	-	0	167	SSO0230	NP_341781	NA
199416	199601	-	1	167	SSO5478	NP_341782	199610
199626	199922	+	1	168	SSO5479	NP_341783	199662
199932	200582	+	1	169	SSO0231	NP_341784	NA
200640	202016	+	1	170	SSO0232	NP_341785	NA
202018	202758	+	0	170	SSO0233	NP_341786	NA
202755	203297	+	0	170	SSO0234	NP_341787	NA
203299	203505	+	1	171	NA	NA	203285
203519	205267	-	1	172	SSO0235	NP_341788	205268
205329	206300	-	1	173	SSO0237	NP_341789	NA
206337	206424	-	1	174	SSOt13	N/A	NA
206480	207904	-	1	175	SSO0240	NP_341790	207857
207852	208922	+	1	176	SSO0239	NP_341791	207908
208923	209972	+	0	176	SSO0241	NP_341792	NA
210097	211104	+	1	177	SSO0242	NP_341793	210084
211105	212514	+	1	178	SSO0244	NP_341794	NA
212541	213524	+	1	179	SSO0245	NP_341795	212541
213501	214310	-	1	180	SSO0246	NP_341796	214308
214339	215556	-	1	181	SSO0248	NP_341797	NA
215580	216095	-	1	182	SSO0249	NP_341798	216095
216135	217109	-	1	183	SSO0250	NP_341799	217133
217166	217711	-	0	184	SSO0251	NP_341800	NA
217690	218709	-	1	184	SSO0252	NP_341801	NA
218719	219279	+	1	185	SSO0253	NP_341802	218711
219233	220078	+	1	186	SSO0254	NP_341803	NA
220198	220551	+	0	186	SSO0255	NP_341804	NA
220557	221096	-	0	187	SSO0256	NP_341805	NA
221077	222270	-	1	187	SSO0257	NP_341806	222306
222725	222798	+	1	188	SSOt14	N/A	222722
222803	224134	-	0	189	SSO0258	NP_341807	NA
224131	224382	-	1	189	SSO5522	NP_341808	224390
225064	225228	-	1	190	NA	NA	225249
225253	226020	-	1	191	SSO0259	NP_341809	226007
225950	226273	-	1	192	SSO0260	NP_341810	226288
226429	226788	-	1	193	SSO0261	NP_341811	226792
227300	227599	+	1	194	SSO0262	NP_341812	NA
227495	227569	-	1	195	SSOt15	N/A	NA
227596	228060	-	1	196	SSO0264	NP_341813	NA
228032	229009	-	0	197	SSO0265	NP_341814	NA
228987	229523	-	0	197	SSO0266	NP_341815	NA
229516	229998	-	0	197	SSO0267	NP_341816	NA
230049	231119	-	0	197	SSO0269	NP_341817	NA
231116	231613	-	1	197	SSO0270	NP_341818	231615
231686	232867	+	1	198	SSO0271	NP_341819	NA
233034	233282	+	1	199	SSO5542	NP_341820	233022
233371	233670	+	1	200	SSO0273	NP_341821	233329
233827	234093	+	1	201	SSO5544	NP_341822	NA
234061	235572	-	0	202	SSO0274	NP_341823	NA
235569	236009	-	1	202	SSO0276	NP_341824	236012
236056	236454	+	1	203	SSO0277	NP_341825	236058
236451	237041	-	1	204	SSO0278	NP_341826	237053
237076	238356	-	0	205	SSO0279	NP_341827	NA
238363	238896	-	1	205	SSO0281	NP_341828	NA
238786	239298	+	1	206	SSO0280	NP_341829	238786
239345	241018	+	1	207	SSO0282	NP_341830	239340
241015	242643	-	0	208	SSO0283	NP_341831	NA
242664	243029	-	0	208	SSO0284	NP_341832	NA
243065	243316	-	0	208	SSO5559	NP_341833	NA
243318	243557	-	0	208	SSO5561	NP_341834	NA
243568	244716	-	1	208	SSO0286	NP_341835	244716
244748	246550	-	1	209	SSO0287	NP_341836	246603
246892	247233	-	1	210	SSO0288	NP_341837	NA
246930	247004	+	1	211	SSOt16	N/A	NA
247569	248924	-	1	212	SSO0290	NP_341838	248927
248996	249085	-	1	213	SSOt17	N/A	NA
249129	249473	-	1	214	SSO0291	NP_341839	249478
249483	249755	-	0	215	SSO5576	NP_341840	NA
249752	250030	-	0	215	SSO5577	NP_341841	NA
250020	250589	-	1	215	SSO0292	NP_341842	250601
250595	251596	-	0	216	SSO0293	NP_341843	NA
251593	252129	-	1	216	SSO0294	NP_341844	252139
252174	252416	-	1	217	NA	NA	252427
252385	253464	-	0	218	SSO0295	NP_341845	NA
253437	254333	-	0	218	SSO0296	NP_341846	NA
254333	255334	-	1	218	SSO0298	NP_341847	NA
255258	256103	+	1	219	SSO0297	NP_341848	NA
256072	257013	+	0	219	SSO0299	NP_341849	256072
257014	258054	+	0	219	SSO0302	NP_341850	NA
258056	259051	+	1	220	SSO0304	NP_341851	NA
259048	260112	+	0	220	SSO0305	NP_341852	NA
260097	260906	+	0	220	SSO0306	NP_341853	NA
260884	262059	+	0	220	SSO0307	NP_341854	NA
262008	262835	+	0	220	SSO0308	NP_341855	NA
262804	264048	+	0	220	SSO0309	NP_341856	NA
264045	264707	+	0	220	SSO0311	NP_341857	NA
264668	264982	-	1	221	SSO0312	NP_341858	NA
265248	265538	+	1	222	NA	NA	265234
265543	267195	+	1	223	SSO0313	NP_341859	NA
267173	267997	+	1	224	SSO0314	NP_341860	267192
268202	268417	+	1	225	NA	NA	268202
268425	270347	-	1	226	SSO0315	NP_341861	NA
270412	271047	+	1	227	SSO0316	NP_341862	270412
271082	272167	+	1	228	SSO0317	NP_341863	NA
272169	272882	+	0	228	SSO0318	NP_341864	NA
272869	274047	-	1	229	SSO0320	NP_341865	NA
274091	274417	+	1	230	NA	NA	274091
274562	275344	+	1	231	SSO0321	NP_341866	NA
275424	275813	+	1	232	SSO0322	NP_341867	275421
275795	276304	+	0	232	SSO0323	NP_341868	NA
276282	277514	+	0	232	SSO0324	NP_341869	NA
277514	278572	+	0	232	SSO0325	NP_341870	NA
278497	279063	+	0	232	SSO0326	NP_341871	NA
279044	279547	+	0	232	SSO0327	NP_341872	NA
279779	283225	+	1	233	SSO0328	NP_341873	NA
283168	284619	+	0	233	SSO0329	NP_341874	NA
284612	285646	+	0	233	SSO0330	NP_341875	NA
285759	286874	-	1	234	SSO0333	NP_341876	NA
286849	287064	-	1	235	NA	NA	287064
287131	288432	-	0	236	SSO0334	NP_341877	NA
288531	289544	-	1	236	SSO0335	NP_341878	NA
289591	290643	-	1	237	SSO0337	NP_341879	NA
290891	290978	-	1	238	SSOt18	N/A	NA
291003	291644	-	0	239	SSO0340	NP_341880	NA
291654	294356	-	1	239	SSO0341	NP_341881	294358
294560	294880	-	1	240	SSO0342	NP_341882	294890
294927	295943	-	0	241	SSO0344	NP_341883	NA
295940	296596	-	0	241	SSO0345	NP_341884	NA
296598	297119	-	0	241	SSO0346	NP_341885	NA
297116	297589	-	0	241	SSO0347	NP_341886	NA
297579	297767	-	1	241	SSO5663	NP_341887	297767
297799	298875	-	0	242	SSO0348	NP_341888.2	NA
298872	299315	-	0	242	SSO0349	NP_341889	NA
299322	299591	-	1	242	SSO5668	NP_341890	299585
299584	300255	-	1	243	SSO0351	NP_341891	NA
300252	300518	-	0	244	SSO5671	NP_341892	NA
300522	300683	-	0	244	SSO5672	NP_341893	NA
300674	301030	-	0	244	SSO0352	NP_341894	NA
301042	301506	-	1	244	SSO0353	NP_341895.2	301509
301577	302740	+	1	245	SSO0354	NP_341896	NA
302737	303792	-	1	246	SSO0356	NP_341897	303807
303854	304849	-	1	247	SSO0358	NP_341898	304858
304893	305294	+	1	248	SSO0359	NP_341899	NA
305291	305518	+	1	249	NA	NA	NA
305563	306456	+	1	250	SSO0360	NP_341900	305549
306473	306628	+	1	251	NA	NA	306473
306624	307280	+	0	251	SSO0361	NP_341901	NA
307487	308413	+	1	252	SSO0362	NP_341902	307486
308410	309468	+	1	253	SSO0363	NP_341903	308410
309522	310148	+	1	254	SSO0364	NP_341904	309519
310168	311073	+	1	255	SSO0365	NP_341905	NA
311070	312485	-	1	256	SSO0366	NP_341906	312485
312608	313216	-	0	257	SSO0367	NP_341907	NA
313213	313614	-	1	257	SSO0368	NP_341908	NA
313601	314965	-	1	258	SSO0369	NP_341909	NA
315002	315880	+	1	259	SSO0370	NP_341910	315002
315925	316908	+	0	259	SSO0371	NP_341911	NA
316920	317429	+	1	260	SSO0372	NP_341912	316920
317426	318394	+	0	260	SSO0373	NP_341913	NA
318365	319240	-	1	261	SSO0375	NP_341914	NA
319315	320832	+	1	262	SSO0376	NP_341915	NA
320846	321364	+	1	263	SSO0377	NP_341916	320846
321348	322277	-	1	264	SSO0378	NP_341917	322278
322456	323946	+	1	265	SSO0379	NP_341918	322527
323985	325076	-	0	266	SSO0381	NP_341919	NA
325069	326844	-	1	266	SSO0382	NP_341920	326847
326885	327829	-	1	267	SSO0383	NP_341921	327832
328136	329296	-	1	268	SSO0384	NP_341922	329296
329319	330797	-	1	269	SSO0386	NP_341923	330589
330646	330993	+	1	270	NA	NA	330643
330962	331702	-	1	271	SSO0387	NP_341924	NA
331724	331799	+	1	272	SSOt19	N/A	NA
332169	333398	-	1	273	SSO0388	NP_341925	NA
333447	333520	+	1	274	SSOt20	N/A	NA
333735	337430	+	1	275	SSO0389	NP_341926	333726
337472	338665	+	1	276	SSO0390	NP_341927	337465
338925	339000	+	1	277	SSOt21	N/A	NA
338970	341201	+	1	278	SSO0391	NP_341928	NA
341832	341916	-	1	279	SSOt22	N/A	NA
341941	342501	-	1	280	SSO0392	NP_341929	NA
342491	343210	-	1	281	SSO0393	NP_341930.2	343255
343263	343532	-	0	282	SSO5761	NP_341931	NA
343538	343828	-	1	282	SSO5763	NP_341932	343837
343869	346610	-	1	283	SSO0394	NP_341933	346619
